Country;Admin1;Admin2;ISO3;Admin2 Pcode;Admin1 Pcode;Month;Year;Events;Fatalities
Myanmar;Magway;Thayet;MMR;MMR009D003;MMR009;April;2010;0;0
Myanmar;Mandalay;Kyaukse;MMR;MMR010D003;MMR010;April;2010;0;0
Myanmar;Rakhine;Kyaukpyu;MMR;MMR012D003;MMR012;April;2010;0;0
Myanmar;Shan-East;Monghsat;MMR;MMR016D002;MMR016;April;2010;2;0
Myanmar;Shan-South;Pa-O Self-Administered Zone;MMR;NA;NA;April;2010;0;0
Myanmar;Shan-South;Taunggyi;MMR;MMR014D001;MMR014;April;2010;0;0
Myanmar;Tanintharyi;Dawei;MMR;MMR006D001;MMR006;April;2010;0;0
Myanmar;Yangon;Yangon-North;MMR;MMR013D001;MMR013;April;2010;0;0
Myanmar;Bago-West;Pyay;MMR;MMR008D001;MMR008;April;2010;0;0
Myanmar;Chin;Mindat;MMR;MMR004D002;MMR004;April;2010;0;0
Myanmar;Kachin;Bhamo;MMR;MMR001D003;MMR001;April;2010;0;0
Myanmar;Kachin;Myitkyina;MMR;MMR001D001;MMR001;April;2010;1;4
Myanmar;Magway;Gangaw;MMR;MMR009D005;MMR009;April;2010;0;0
Myanmar;Nay Pyi Taw;Oke Ta Ra;MMR;MMR018D001;MMR018;April;2010;0;0
Myanmar;Rakhine;Thandwe;MMR;MMR012D004;MMR012;April;2010;0;0
Myanmar;Shan-East;Kengtung;MMR;MMR016D001;MMR016;April;2010;0;0
Myanmar;Shan-North;Mongmit;MMR;MMR015D008;MMR015;April;2010;0;0
Myanmar;Yangon;Yangon-South;MMR;MMR013D003;MMR013;April;2010;0;0
Myanmar;Ayeyarwady;Labutta;MMR;MMR017D004;MMR017;April;2010;0;0
Myanmar;Ayeyarwady;Maubin;MMR;MMR017D005;MMR017;April;2010;0;0
Myanmar;Magway;Pakokku;MMR;MMR009D004;MMR009;April;2010;0;0
Myanmar;Mandalay;Myingyan;MMR;MMR010D004;MMR010;April;2010;0;0
Myanmar;Rakhine;Maungdaw;MMR;MMR012D002;MMR012;April;2010;0;0
Myanmar;Rakhine;Mrauk-U;MMR;MMR012D005;MMR012;April;2010;0;0
Myanmar;Shan-North;Hopang;MMR;MMR015D006;MMR015;April;2010;0;0
Myanmar;Shan-North;Kokang Self-Administered Zone;MMR;MMR015D221;MMR015;April;2010;0;0
Myanmar;Shan-North;Muse;MMR;MMR015D002;MMR015;April;2010;1;0
Myanmar;Sagaing;Kale;MMR;MMR005D005;MMR005;April;2010;0;0
Myanmar;Sagaing;Sagaing;MMR;MMR005D001;MMR005;April;2010;0;0
Myanmar;Bago-East;Bago;MMR;MMR007D001;MMR007;April;2010;0;0
Myanmar;Chin;Hakha;MMR;MMR004D003;MMR004;April;2010;0;0
Myanmar;Kachin;Mohnyin;MMR;MMR001D002;MMR001;April;2010;0;0
Myanmar;Kachin;Puta-O;MMR;MMR001D004;MMR001;April;2010;0;0
Myanmar;Kayin;Hpa-An;MMR;MMR003D001;MMR003;April;2010;0;0
Myanmar;Kayin;Myawaddy;MMR;MMR003D002;MMR003;April;2010;0;0
Myanmar;Mandalay;Mandalay;MMR;MMR010D001;MMR010;April;2010;0;0
Myanmar;Mandalay;Meiktila;MMR;MMR010D007;MMR010;April;2010;0;0
Myanmar;Sagaing;Kawlin;MMR;MMR005D011;MMR005;April;2010;0;0
Myanmar;Sagaing;Naga Self-Administered Zone;MMR;NA;NA;April;2010;0;0
