mention_week,median_tone,median_impact,mentions_count
2024-09-16,-8.05369127516778,-2.0,6
2024-09-16,-7.16731898238748,-5.0,14
2024-09-16,-7.20764893356214,-9.5,21
2024-09-16,-5.22935779816513,-9.5,8
2024-09-16,-7.17821782178218,-10.0,15
2024-09-16,-5.14385353095031,-10.0,9
2024-09-16,-6.85579196217494,-10.0,28
2024-09-16,-9.86842105263158,-10.0,11
2024-09-16,-7.177734375,-10.0,85
2024-09-16,-7.16731898238748,-10.0,58
2024-09-09,-10.6127605811749,-10.0,33
2024-09-09,-10.6127605811749,-9.5,23
2024-09-09,1.93548387096775,-10.0,8
2024-09-09,-10.4109589041096,-10.0,10
2024-09-02,-7.24586704185719,-5.0,7
2024-09-02,-11.5384615384615,-10.0,6
2024-09-02,-1.01351351351351,-5.0,13
2024-09-02,-1.34228187919464,-9.2,7
2024-09-02,-2.28571428571429,-4.0,6
2024-09-02,-9.8654708520179,-10.0,13
2024-09-02,-4.63320463320464,-2.0,7
2024-09-02,-9.92481203007518,-10.0,20
2024-08-26,-10.5751391465677,-2.0,6
2024-08-26,-6.12244897959184,-4.0,14
2024-08-26,-8.94568690095846,-9.5,8
2024-08-26,-4.3298969072165,-10.0,22
2024-08-26,-7.98226164079827,-2.0,16
2024-08-26,-2.63157894736842,-7.0,7
2024-08-26,-6.09981515711645,-4.0,13
2024-08-26,-6.76691729323308,-10.0,34
2024-08-26,-7.36714975845411,-10.0,6
2024-08-26,-8.21917808219178,-10.0,6
2024-08-26,-8.43989769820972,-10.0,7
2024-08-26,-8.43989769820972,-9.0,16
2024-08-26,-4.41860465116279,-10.0,9
2024-08-26,-8.46153846153846,-9.2,35
2024-08-26,-6.06617647058824,-4.0,50
2024-08-26,-2.77777777777777,-4.4,9
2024-08-26,-8.46153846153846,-9.0,22
2024-08-26,-7.83410138248851,-10.0,15
2024-08-26,-6.47482014388489,-10.0,48
2024-08-26,-7.92507204610949,-9.0,44
2024-08-26,-9.49720670391066,-10.0,17
2024-08-26,-10.4779411764706,-9.5,8
2024-08-26,-8.43989769820972,-9.0,7
2024-08-26,-7.90697674418605,-4.4,6
2024-08-26,-5.07462686567164,-5.0,11
2024-08-26,-10.5751391465677,-9.5,11
2024-08-26,-8.43989769820972,-10.0,7
2024-08-26,-7.61548064918852,-10.0,6
2024-08-26,-10.5263157894737,-9.0,10
2024-08-26,-4.41860465116279,-10.0,9
2024-08-26,-5.07462686567164,-5.0,8
2024-08-26,-6.06617647058824,-4.0,50
2024-08-26,-10.0840336134453,-10.0,8
2024-08-26,-6.06617647058824,-5.0,102
2024-08-26,-9.7731239092496,-10.0,10
2024-08-26,-7.55885997521685,-2.0,6
2024-08-26,-8.06916426512968,-10.0,24
2024-08-26,-5.51470588235294,-5.0,13
2024-08-26,-8.60759493670885,-10.0,36
2024-08-26,-11.260053619303,-10.0,10
2024-08-26,-11.260053619303,-10.0,8
2024-08-26,-8.22179732313575,-9.0,30
2024-08-19,-9.43396226415093,-10.0,9
2024-08-19,-4.41767068273093,-9.0,6
2024-08-19,-7.85219399538106,-5.0,8
2024-08-19,-2.6268115942029,-5.0,7
2024-08-12,-2.29007633587786,-5.0,8
2024-08-12,-4.21783235451148,-4.0,6
2024-08-12,-5.02008032128514,-5.0,6
2024-08-05,-3.9453717754173,-4.0,8
2024-08-05,-2.58064516129033,-2.0,7
2024-08-05,-2.8169014084507,-4.0,7
2024-08-05,-1.50375939849624,-8.0,6
2024-08-05,-1.50375939849624,-8.0,6
2024-08-05,-0.26595744680851,-4.0,9
2024-08-05,-2.58302583025831,-4.4,11
2024-08-05,-2.15605749486653,-5.0,7
2024-08-05,-2.8169014084507,-2.0,7
2024-07-29,-7.9295154185022,-4.0,7
2024-07-29,-5.39845758354756,-9.0,6
2024-07-29,-7.22021660649822,-10.0,8
2024-07-29,-4.10958904109589,-2.0,10
2024-07-29,-7.94824399260628,-10.0,8
2024-07-29,-2.83018867924528,-2.0,18
2024-07-29,-7.9295154185022,-4.0,7
2024-07-22,-9.03954802259891,-5.0,12
2024-07-22,-2.0501138952164,-2.0,6
2024-07-22,-8.73417721518986,-4.4,6
2024-07-22,-4.79233226837061,-4.4,10
2024-07-22,-8.73417721518986,-10.0,22
2024-07-22,-3.9289055191768,-4.0,6
2024-07-22,-8.73417721518986,-4.4,6
2024-07-22,-8.73417721518986,-2.0,20
2024-07-22,-3.6117381489842,-4.0,7
2024-07-22,-2.75862068965518,-10.0,18
2024-07-15,-0.3875968992248,-2.0,7
2024-07-15,-6.53658536585366,-9.0,8
2024-07-15,-4.5774647887324,-10.0,9
2024-07-15,-5.62700964630226,-5.0,12
2024-07-15,-5.6420233463035,-5.0,7
2024-07-08,-11.3300492610838,-10.0,8
2024-07-08,-5.35031847133758,-5.0,14
2024-07-08,-5.94883997620464,-9.0,6
2024-07-08,-11.3300492610838,-10.0,8
2024-07-08,-5.35031847133758,-4.0,11
2024-07-08,-3.06122448979592,-5.0,11
2024-07-08,-1.28617363344051,-2.0,7
2024-07-08,-2.49854735618826,-6.5,7
2024-07-08,-5.50458715596331,-5.0,10
2024-07-08,-3.25443786982249,-2.0,8
2024-07-08,-5.35031847133758,-5.0,51
2024-07-08,-4.79115479115479,-5.0,7
2024-07-08,-4.4,-2.0,6
2024-07-08,-4.63320463320464,-5.0,14
2024-07-08,-2.60869565217392,-5.0,7
2024-07-08,-5.25657071339174,-5.0,14
2024-07-08,0.54894784995425,-5.0,15
2024-07-01,-1.72413793103448,-2.0,48
2024-07-01,-3.22164948453608,-5.0,7
2024-07-01,-2.80373831775701,-5.0,6
2024-07-01,1.46627565982404,-2.0,7
2024-07-01,-14.7239263803681,-2.0,7
2024-07-01,-5.6701030927835,-5.0,7
2024-06-24,-0.17953321364452,-9.0,12
2024-06-24,-3.80078636959371,-9.0,6
2024-06-24,-11.9047619047619,-10.0,6
2024-06-24,-11.9047619047619,-10.0,6
2024-06-17,-7.84132841328413,-10.0,36
2024-06-17,-9.66386554621847,-10.0,8
2024-06-17,-7.49354005167959,-10.0,9
2024-06-17,-7.27272727272727,-4.0,8
2024-06-17,-5.40540540540541,-10.0,9
2024-06-17,-7.12530712530713,-4.4,7
2024-06-17,-5.58727569331158,-10.0,7
2024-06-17,-7.61421319796954,-7.2,14
2024-06-17,-7.61421319796954,-10.0,6
2024-06-17,-7.84132841328413,-4.0,25
2024-06-17,-9.66386554621847,-10.0,8
2024-06-17,-7.61421319796954,-10.0,12
2024-06-17,-4.71380471380471,-4.4,6
2024-06-17,-5.59440559440559,-10.0,8
2024-06-17,-7.46753246753247,-10.0,11
2024-06-17,-0.75187969924812,-6.5,9
2024-06-17,-7.12530712530713,-10.0,14
2024-06-17,-7.7125328659071,-10.0,10
2024-06-17,-7.61421319796954,-10.0,35
2024-06-17,-7.34177215189874,-10.0,9
2024-06-17,-7.69874476987448,-10.0,19
2024-06-17,-7.80082987551867,-10.0,11
2024-06-17,-7.77683854606931,-10.0,11
2024-06-17,-3.86740331491713,-5.0,7
2024-06-10,3.08441558441559,-6.5,7
2024-06-10,-5.11551155115512,-2.0,13
2024-06-10,-7.6923076923077,-9.0,8
2024-06-10,-7.22222222222222,-10.0,9
2024-06-10,-5.11551155115512,-4.0,13
2024-06-10,-7.22222222222222,-2.0,8
2024-06-10,-3.87393302692055,-10.0,7
2024-06-03,-0.33444816053512,-10.0,6
2024-06-03,-6.15563298490128,-10.0,15
2024-06-03,-6.15563298490128,-5.6,69
2024-06-03,-9.66921119592872,-5.6,6
2024-06-03,0.0,-10.0,12
2024-06-03,-4.81347773766546,-5.0,8
2024-06-03,-0.60265166733628,-2.0,6
2024-06-03,-4.5539033457249,-7.2,6
2024-06-03,-4.5539033457249,-7.2,6
2024-05-27,-4.19847328244274,-9.0,6
2024-05-27,-4.52127659574468,-2.0,6
2024-05-27,-4.39481268011527,-4.0,7
2024-05-27,-1.11482720178373,-4.0,10
2024-05-27,-8.60058309037901,-5.0,9
2024-05-27,-7.05128205128205,-5.0,6
2024-05-27,-3.94190871369294,-5.0,11
2024-05-20,-5.44554455445544,-8.0,11
2024-05-20,-1.5025041736227,-5.0,11
