mention_week,median_tone,median_impact,mentions_count
2021-04-05,-5.78512396694215,-2.0,19
2021-04-05,-7.40242261103634,-6.5,7
2021-04-05,-9.94236311239194,-6.5,20
2021-04-05,-5.72792362768497,-9.5,20
2021-04-05,-8.10810810810811,-9.0,52
2021-04-05,-6.58436213991769,-5.0,22
2021-04-05,-6.92235734331151,-8.0,721
2021-04-05,-8.47953216374266,-5.0,23
2021-04-05,-5.52016985138005,-9.0,13
2021-04-05,-7.50551876379691,-5.0,9
2021-04-05,-9.63455149501661,-9.0,9
2021-04-05,-7.76119402985075,-6.5,9
2021-04-05,-9.02777777777778,-6.5,163
2021-04-05,-2.97029702970297,-10.0,8
2021-04-05,-8.07926829268293,-10.0,9
2021-04-05,-10.0143061516452,-10.0,9
2021-04-05,-6.24133148404993,-5.6,117
2021-04-05,-10.1734104046243,-10.0,20
2021-04-05,-4.29362880886426,-10.0,6
2021-04-05,-5.71428571428572,-10.0,73
2021-04-05,-7.05009276437848,-7.0,18
2021-04-05,-3.13390313390314,-4.0,12
2021-04-05,-6.61654135338346,-4.0,10
2021-04-05,-7.19298245614035,-5.0,20
2021-04-05,-5.5793991416309,-9.0,117
2021-04-05,-5.45876887340302,-10.0,21
2021-04-05,-8.22281167108753,-10.0,21
2021-04-05,-4.2875157629256,-7.2,23
2021-04-05,-8.06697108066971,-9.0,87
2021-04-05,-6.33147113594041,-9.0,72
2021-04-05,-7.80984719864177,-6.5,18
2021-04-05,-9.66183574879227,-10.0,7
2021-04-05,-10.6849315068493,-7.5,22
2021-04-05,-2.89115646258503,-5.0,21
2021-04-05,-6.10859728506787,-5.0,13
2021-04-05,-7.45967741935483,-10.0,47
2021-04-05,-6.54008438818565,-9.0,21
2021-04-05,-7.90464240903388,-6.5,11
2021-04-05,-7.53676470588236,-10.0,63
2021-04-05,-10.1468624833111,-10.0,6
2021-04-05,-7.95698924731183,-6.5,6
2021-04-05,-6.57894736842105,-8.0,6
2021-04-05,-7.23606168446026,-6.5,6
2021-04-05,-8.56573705179283,-10.0,13
2021-04-05,-4.97297297297298,-5.8,9
2021-04-05,-7.34966592427617,-9.0,50
2021-04-05,-5.95238095238095,-10.0,21
2021-04-05,-8.41423948220061,-9.0,76
2021-04-05,-5.70342205323194,-5.0,67
2021-04-05,-7.21649484536083,-10.0,7
2021-04-05,-4.23280423280423,-6.5,17
2021-04-05,-8.78787878787879,-10.0,694
2021-04-05,-4.39429928741092,-10.0,74
2021-04-05,-6.21761658031088,-2.0,9
2021-04-05,-4.71841704718417,-5.0,81
2021-04-05,-4.71841704718417,-6.5,29
2021-04-05,-3.65853658536586,-4.0,40
2021-04-05,-6.22222222222223,-10.0,31
2021-04-05,-6.16929698708751,-6.5,53
2021-04-05,-6.1415220293725,-10.0,9
2021-04-05,-3.89937106918239,-10.0,30
2021-04-05,-6.89655172413793,-9.0,16
2021-04-05,-7.00389105058365,-9.0,48
