mention_week,median_tone,median_impact,mentions_count
2025-01-06,-7.48538011695907,-9.5,9
2025-01-06,-8.3710407239819,-10.0,28
2025-01-06,-7.15151515151515,-10.0,70
2025-01-06,-13.4782608695652,-10.0,70
2025-01-06,-6.72043010752688,-10.0,39
2025-01-06,-8.57142857142858,-10.0,35
2025-01-06,-8.57142857142858,-10.0,22
2025-01-06,-6.59480025364616,-5.0,6
2025-01-06,-7.5,-10.0,7
2025-01-06,-7.17423133235724,-10.0,88
2025-01-06,1.65745856353591,-10.0,10
2025-01-06,-6.41748942172073,-9.2,66
2025-01-06,-7.773851590106,-10.0,22
2025-01-06,-8.05152979066022,-10.0,18
2025-01-06,-11.443433029909,-10.0,9
2025-01-06,-7.11297071129707,-10.0,6
2025-01-06,-9.61538461538458,-10.0,18
2025-01-06,-13.5922330097087,-10.0,54
2025-01-06,-5.59845559845559,-7.0,10
2025-01-06,-8.36501901140685,-10.0,26
2025-01-06,-7.58620689655173,-10.0,43
2025-01-06,-6.86274509803922,-10.0,18
2025-01-06,-6.92307692307693,-10.0,15
2025-01-06,-7.04845814977974,-2.0,16
2025-01-06,-7.17948717948718,-10.0,52
2025-01-06,-8.65294667913934,-10.0,91
2025-01-06,-3.03285593934288,-4.0,6
2025-01-06,-6.54420206659013,-2.0,6
2025-01-06,-13.5922330097087,-10.0,38
2025-01-06,-8.69565217391304,-10.0,21
2025-01-06,-6.58914728682171,-10.0,10
2025-01-06,-7.50551876379691,-10.0,371
2025-01-06,-6.58914728682171,-10.0,6
2025-01-06,-7.0,-10.0,11
2025-01-06,-14.7465437788018,-10.0,8
2025-01-06,-8.33333333333334,-10.0,208
2025-01-06,-5.32637075718016,-10.0,7
2025-01-06,-8.38206627680312,-10.0,143
2025-01-06,-8.20105820105821,-10.0,27
2025-01-06,-3.12771503040834,-10.0,10
2025-01-06,-5.4054054054054,-10.0,16
2025-01-06,-9.51417004048585,-4.0,6
2025-01-06,-9.90099009900991,-10.0,6
2025-01-06,-7.3943661971831,-7.0,23
2025-01-06,-3.12771503040834,-10.0,9
2025-01-06,-5.11041009463723,-10.0,22
2025-01-06,-6.68316831683168,-10.0,43
2025-01-06,-7.59493670886076,-10.0,90
2025-01-06,-8.203125,-5.0,17
2025-01-06,-7.32984293193717,-9.0,15
2025-01-06,-7.90322580645161,-10.0,19
2025-01-06,-8.0188679245283,-10.0,85
2025-01-06,-9.80683506686475,-7.2,6
2025-01-06,-7.91139240506329,-9.0,16
2025-01-06,-5.25252525252525,-10.0,24
2025-01-06,-5.43672014260249,-5.0,10
2025-01-06,-4.05643738977073,-9.0,6
2025-01-06,-9.82658959537572,-10.0,11
2025-01-06,-6.40522875816993,-10.0,7
2025-01-06,-6.16438356164384,-10.0,8
2025-01-06,-5.05110354021627,-10.0,12
2025-01-06,-6.09212481426448,-10.0,11
2025-01-06,-7.50551876379691,-7.0,80
2025-01-06,-5.39568345323741,-10.0,17
2025-01-06,-8.33333333333333,-10.0,13
2025-01-06,-6.57894736842105,-10.0,13
2025-01-06,-7.03883495145631,-9.5,39
2025-01-06,-10.2693602693603,-10.0,12
2025-01-06,-8.86699507389163,-10.0,14
2025-01-06,-5.94059405940594,-10.0,9
2025-01-06,-8.1419624217119,-10.0,8
2025-01-06,-10.9640831758034,-10.0,9
2025-01-06,-8.16326530612245,-10.0,64
2025-01-06,-7.88381742738589,-10.0,9
2025-01-06,-6.21317621853241,-10.0,17
2025-01-06,-7.30088495575222,-10.0,8
2025-01-06,-5.09898020395921,-10.0,15
2025-01-06,-13.5922330097087,-5.0,102
2025-01-06,-7.84982935153583,-10.0,7
2025-01-06,-7.65864332603939,-10.0,85
2025-01-06,-8.22368421052632,-10.0,10
2025-01-06,-7.75109170305677,-9.0,57
2025-01-06,-7.72357723577236,-10.0,11
2025-01-06,-7.30088495575222,-10.0,10
2025-01-06,-6.16438356164384,-10.0,9
2025-01-06,-8.90410958904106,-9.2,6
2025-01-06,-5.22222222222222,-10.0,7
2025-01-06,-8.35820895522388,-10.0,186
2025-01-06,-4.13309072004159,-9.5,7
2025-01-06,-7.86885245901639,-10.0,6
2025-01-06,-7.4719800747198,-10.0,11
2025-01-06,-7.69230769230769,-10.0,25
2025-01-06,-8.0188679245283,-10.0,110
2025-01-06,-3.20733104238259,-9.0,53
2025-01-06,-8.65294667913934,-10.0,122
2025-01-06,-7.11864406779661,-10.0,6
2025-01-06,-6.48379052369077,-10.0,6
2025-01-06,-9.81012658227844,-10.0,12
2025-01-06,-4.87382840663302,-4.4,20
2025-01-06,-4.87382840663302,-10.0,13
2025-01-06,-4.72103004291845,-10.0,6
2025-01-06,-3.6210018105009,-9.0,49
2025-01-06,-13.4782608695652,-5.0,276
2025-01-06,-6.00706713780919,-10.0,7
2025-01-06,-6.81818181818182,-10.0,6
2025-01-06,-4.18006430868167,-2.0,13
2025-01-06,-7.51173708920187,-10.0,66
2025-01-06,-5.0632911392405,-10.0,7
2025-01-06,-4.13223140495868,-10.0,7
2025-01-06,-7.12250712250712,-10.0,15
2025-01-06,-7.72357723577236,-10.0,6
2025-01-06,-7.16417910447761,-10.0,13
2025-01-06,-2.63157894736842,-9.0,15
2025-01-06,-6.40522875816993,-10.0,11
2025-01-06,-6.43015521064301,-2.0,6
2025-01-06,-12.1951219512195,-4.4,8
2025-01-06,-7.95180722891566,-10.0,53
2025-01-06,-9.82658959537572,-9.5,8
2025-01-06,-10.2348993288591,-10.0,30
2025-01-06,-7.32758620689655,-10.0,41
2025-01-06,-6.38297872340425,-10.0,9
2025-01-06,-4.60269214068606,-10.0,190
2025-01-06,-3.71621621621622,-4.4,16
2025-01-06,-4.87382840663302,-10.0,16
2025-01-06,-8.89121338912134,-10.0,256
2025-01-06,-6.64206642066421,-10.0,6
2025-01-06,-8.58951175406872,-10.0,7
2025-01-06,-8.02005012531328,-10.0,6
2025-01-06,-3.94658753709199,-9.5,7
2025-01-06,-11.7424242424242,-10.0,76
2025-01-06,-6.76691729323308,-10.0,8
2025-01-06,-10.0871731008717,-10.0,6
2025-01-06,-9.12698412698412,-10.0,11
2025-01-06,-7.68245838668373,-9.2,70
2025-01-06,-7.62081784386617,-10.0,127
2024-12-30,-6.20915032679738,-9.0,9
2024-12-30,-6.43513789581205,-10.0,6
2024-12-30,-8.77976190476191,-5.0,12
2024-12-30,-2.7466490881125,-10.0,8
2024-12-30,-8.11608460403345,-9.2,28
2024-12-30,-8.71491875923191,-5.0,123
2024-12-30,-6.35276532137518,-2.0,8
2024-12-30,-9.91983967935867,-7.0,137
2024-12-30,-9.5602294455067,-10.0,6
2024-12-30,-9.0909090909091,-10.0,6
2024-12-30,-9.46115288220554,-10.0,17
2024-12-30,-9.0909090909091,-10.0,86
2024-12-30,-5.84615384615385,-10.0,7
2024-12-30,-8.24607329842931,-10.0,8
2024-12-30,-9.0909090909091,-2.0,71
2024-12-30,-12.116991643454,-10.0,6
2024-12-30,-8.71491875923191,-10.0,106
2024-12-30,-7.83410138248848,-10.0,9
2024-12-30,-4.39624853458382,-10.0,25
2024-12-30,-6.99481865284974,-9.0,8
2024-12-30,-7.97546012269939,-10.0,20
2024-12-30,-6.48429584599798,-10.0,15
2024-12-30,-9.48795180722892,-10.0,6
2024-12-30,-9.34579439252339,-10.0,6
2024-12-30,-5.6497175141243,-10.0,8
2024-12-30,-4.51467268623025,-10.0,6
2024-12-30,-8.36653386454183,-10.0,6
2024-12-30,-8.84353741496596,-10.0,9
2024-12-30,-6.63615560640732,-9.5,66
2024-12-30,-9.64285714285716,-10.0,13
2024-12-30,-10.9195402298851,-10.0,7
2024-12-30,-4.16666666666667,-9.0,16
2024-12-30,-7.35785953177259,-7.0,20
2024-12-30,-5.71229536746778,-5.0,9
2024-12-30,-6.7741935483871,-10.0,72
2024-12-30,-9.31174089068829,-10.0,14
2024-12-30,-7.15287517531557,-10.0,125
2024-12-30,-5.31400966183575,-5.0,10
2024-12-30,-8.52017937219731,-10.0,24
2024-12-30,-6.57894736842105,-10.0,45
2024-12-30,-9.48795180722892,-5.0,16
2024-12-30,-6.8359375,-10.0,7
2024-12-30,-6.52173913043478,-10.0,95
2024-12-30,-7.94392523364486,-10.0,7
2024-12-30,-9.49720670391058,-5.0,12
2024-12-30,-9.38215102974832,-10.0,25
2024-12-30,-9.46115288220554,-10.0,111
2024-12-30,-8.73015873015873,-10.0,29
2024-12-30,-5.05689001264222,-7.0,6
2024-12-30,-7.30897009966777,-10.0,119
2024-12-30,-9.48795180722892,-5.0,6
2024-12-30,-4.41176470588235,-6.5,13
2024-12-30,-2.31884057971014,-5.0,38
2024-12-30,-6.59971305595409,-10.0,9
2024-12-30,-8.08897876643074,-5.0,210
2024-12-30,-9.03225806451613,-9.0,8
2024-12-30,-5.71791613722999,-5.0,58
2024-12-30,-6.73076923076923,-10.0,6
2024-12-30,-7.56712774613507,-10.0,63
2024-12-30,-2.33236151603498,-5.0,48
2024-12-30,-8.71794871794871,-10.0,10
2024-12-30,-8.64864864864867,-9.0,20
2024-12-30,-11.046511627907,-10.0,9
2024-12-30,-6.83962264150943,-10.0,6
2024-12-30,-5.75163398692811,-10.0,12
