mention_week,median_tone,median_impact,mentions_count
2022-08-15,-2.98913043478261,-10.0,8
2022-08-15,-4.83870967741936,-5.0,22
2022-08-15,-0.60790273556231,-9.5,6
2022-08-15,-3.6231884057971,-4.4,23
2022-08-15,-8.89328063241103,-5.0,11
2022-08-15,-1.8348623853211,-5.0,435
2022-08-15,-6.07798165137615,-10.0,7
2022-08-15,-2.0253164556962,-5.0,9
2022-08-15,-5.64516129032259,-10.0,6
2022-08-15,-1.22199592668025,-4.0,11
2022-08-15,-7.82918149466192,-10.0,6
2022-08-15,-7.89473684210528,-4.0,21
2022-08-15,-3.22580645161291,-4.4,17
2022-08-15,-1.3953488372093,-10.0,21
2022-08-15,-4.52961672473868,-4.0,36
2022-08-15,-9.37866354044548,-4.0,59
2022-08-15,-2.38095238095238,-5.0,8
2022-08-08,-6.5688775510204,-5.0,27
2022-08-08,-4.19161676646707,-10.0,11
2022-08-08,-2.89219982471516,-5.0,39
2022-08-08,-6.17283950617284,-2.0,7
2022-08-08,-2.89608177172062,-4.4,347
2022-08-08,-7.40740740740741,-2.0,7
2022-08-08,-7.35294117647059,-10.0,7
2022-08-08,-6.56934306569348,-10.0,8
2022-08-08,-0.30143180105501,-4.0,6
2022-08-08,-0.20790020790021,-2.0,11
2022-08-08,1.89873417721519,-5.0,15
2022-08-08,-4.81283422459893,-10.0,7
2022-08-08,-4.23728813559322,-9.0,8
2022-08-08,-8.02469135802469,-5.0,19
2022-08-08,-1.21212121212122,-5.0,12
2022-08-08,-2.16450216450217,-4.0,84
2022-08-08,-2.92573143285822,-4.4,11
2022-08-08,-4.97237569060773,-2.0,6
2022-08-08,-1.67364016736402,-6.5,159
2022-08-08,-0.75757575757576,-10.0,8
2022-08-08,-0.50251256281407,-4.4,31
2022-08-08,-10.5263157894737,-5.0,12
2022-08-08,-4.16666666666666,-4.0,30
2022-08-08,-3.53130016051364,-5.0,12
2022-08-08,-1.76180408738548,-4.0,22
2022-08-08,-0.58365758754864,-10.0,7
2022-08-08,-4.90405117270789,-10.0,10
2022-08-08,1.05633802816901,-2.0,17
2022-08-08,-3.40136054421769,-4.0,6
2022-08-08,-0.78125,-4.0,12
2022-08-08,-1.5625,-5.0,564
2022-08-08,-2.06896551724137,-5.0,7
2022-08-08,-1.18460019743337,-5.0,10
2022-08-08,-4.33291770573566,-4.0,7
2022-08-08,-0.865800865800864,-4.0,8
2022-08-08,-5.60747663551402,-5.0,13
2022-08-08,-6.64335664335664,-5.0,25
2022-08-08,-1.54440154440154,-5.0,366
2022-08-08,-4.33291770573566,-4.0,248
2022-08-08,-10.4651162790698,-5.0,8
2022-08-08,-4.45544554455446,-5.0,9
2022-08-08,-1.80505415162455,-4.0,7
2022-08-08,-6.71031096563012,-10.0,7
2022-08-08,-6.21848739495799,-5.0,10
2022-08-08,-2.6973026973027,-5.0,12
2022-08-08,-6.21848739495799,-2.0,9
2022-08-08,-2.97684674751929,-6.5,22
