mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,google_search
2016-08-29,Saudi Arabia,Asia,29392,https://www.google.com/search?q=site:bbc.com+Saudi Arabia+news+after:2016-08-29+before:2016-09-05
2016-08-29,Israel,Asia,25956,https://www.google.com/search?q=site:reuters.com+Israel+news+after:2016-08-29+before:2016-09-05
2016-09-05,United States,North America,239576,https://www.google.com/search?q=site:pbs.org+United States+news+after:2016-09-05+before:2016-09-12
2016-09-05,Syria,Asia,56783,https://www.google.com/search?q=site:npr.org+Syria+news+after:2016-09-05+before:2016-09-12
2016-09-05,Israel,Asia,30249,https://www.google.com/search?q=site:dw.com+Israel+news+after:2016-09-05+before:2016-09-12
2016-09-05,France,Europe,28051,https://www.google.com/search?q=site:reuters.com+France+news+after:2016-09-05+before:2016-09-12
2016-09-05,Russia,Europe,25785,https://www.google.com/search?q=site:bbc.com+Russia+news+after:2016-09-05+before:2016-09-12
2016-09-12,United States,North America,266566,https://www.google.com/search?q=site:bbc.com+United States+news+after:2016-09-12+before:2016-09-19
2016-09-12,Syria,Asia,75199,https://www.google.com/search?q=site:aljazeera.com+Syria+news+after:2016-09-12+before:2016-09-19
2016-09-12,Israel,Asia,40399,https://www.google.com/search?q=site:npr.org+Israel+news+after:2016-09-12+before:2016-09-19
2016-09-12,Russia,Europe,33181,https://www.google.com/search?q=site:dw.com+Russia+news+after:2016-09-12+before:2016-09-19
2016-09-12,United Kingdom,Europe,29309,https://www.google.com/search?q=site:aljazeera.com+United Kingdom+news+after:2016-09-12+before:2016-09-19
2016-09-19,United States,North America,456081,https://www.google.com/search?q=site:pbs.org+United States+news+after:2016-09-19+before:2016-09-26
2016-09-19,Syria,Asia,104286,https://www.google.com/search?q=site:aljazeera.com+Syria+news+after:2016-09-19+before:2016-09-26
2016-09-19,Russia,Europe,39405,https://www.google.com/search?q=site:apnews.com+Russia+news+after:2016-09-19+before:2016-09-26
2016-09-19,Israel,Asia,36890,https://www.google.com/search?q=site:aljazeera.com+Israel+news+after:2016-09-19+before:2016-09-26
2016-09-19,India,Asia,28116,https://www.google.com/search?q=site:pbs.org+India+news+after:2016-09-19+before:2016-09-26
2016-09-26,United States,North America,352890,https://www.google.com/search?q=site:bbc.com+United States+news+after:2016-09-26+before:2016-10-03
2016-09-26,Syria,Asia,63954,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2016-09-26+before:2016-10-03
2016-09-26,Bangladesh,Asia,61888,https://www.google.com/search?q=site:dw.com+Bangladesh+news+after:2016-09-26+before:2016-10-03
2016-09-26,Russia,Europe,38325,https://www.google.com/search?q=site:reuters.com+Russia+news+after:2016-09-26+before:2016-10-03
2016-09-26,Israel,Asia,30204,https://www.google.com/search?q=site:aljazeera.com+Israel+news+after:2016-09-26+before:2016-10-03
2016-10-03,United States,North America,323832,https://www.google.com/search?q=site:apnews.com+United States+news+after:2016-10-03+before:2016-10-10
2016-10-03,Syria,Asia,69961,https://www.google.com/search?q=site:dw.com+Syria+news+after:2016-10-03+before:2016-10-10
2016-10-03,Russia,Europe,43917,https://www.google.com/search?q=site:dw.com+Russia+news+after:2016-10-03+before:2016-10-10
2016-10-03,Turkey,Asia,39097,https://www.google.com/search?q=site:npr.org+Turkey+news+after:2016-10-03+before:2016-10-10
2016-10-03,Israel,Asia,32756,https://www.google.com/search?q=site:bbc.com+Israel+news+after:2016-10-03+before:2016-10-10
2016-10-10,United States,North America,277120,https://www.google.com/search?q=site:reuters.com+United States+news+after:2016-10-10+before:2016-10-17
2016-10-10,Syria,Asia,64375,https://www.google.com/search?q=site:apnews.com+Syria+news+after:2016-10-10+before:2016-10-17
2016-10-10,Russia,Europe,37912,https://www.google.com/search?q=site:reuters.com+Russia+news+after:2016-10-10+before:2016-10-17
2016-10-10,Israel,Asia,32331,https://www.google.com/search?q=site:dw.com+Israel+news+after:2016-10-10+before:2016-10-17
2016-10-10,Turkey,Asia,29995,https://www.google.com/search?q=site:bbc.com+Turkey+news+after:2016-10-10+before:2016-10-17
2016-10-17,United States,North America,268461,https://www.google.com/search?q=site:dw.com+United States+news+after:2016-10-17+before:2016-10-24
2016-10-17,Iraq,Asia,94974,https://www.google.com/search?q=site:reuters.com+Iraq+news+after:2016-10-17+before:2016-10-24
2016-10-17,Syria,Asia,62292,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2016-10-17+before:2016-10-24
2016-10-17,Russia,Europe,39446,https://www.google.com/search?q=site:bbc.com+Russia+news+after:2016-10-17+before:2016-10-24
2016-10-17,Turkey,Asia,31870,https://www.google.com/search?q=site:pbs.org+Turkey+news+after:2016-10-17+before:2016-10-24
2016-10-24,United States,North America,271431,https://www.google.com/search?q=site:reuters.com+United States+news+after:2016-10-24+before:2016-10-31
2016-10-24,Iraq,Asia,61166,https://www.google.com/search?q=site:reuters.com+Iraq+news+after:2016-10-24+before:2016-10-31
2016-10-24,Syria,Asia,55908,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2016-10-24+before:2016-10-31
2016-10-24,Pakistan,Asia,42490,https://www.google.com/search?q=site:dw.com+Pakistan+news+after:2016-10-24+before:2016-10-31
2016-10-24,Russia,Europe,32301,https://www.google.com/search?q=site:bbc.com+Russia+news+after:2016-10-24+before:2016-10-31
2016-10-31,United States,North America,365314,https://www.google.com/search?q=site:reuters.com+United States+news+after:2016-10-31+before:2016-11-07
2016-10-31,Iraq,Asia,61856,https://www.google.com/search?q=site:apnews.com+Iraq+news+after:2016-10-31+before:2016-11-07
