mention_week,conflict_continent,conflict_country_name,material_conflict_mentions
2015-02-23,Oceania,Cook Islands,5
2015-02-23,Oceania,Fiji,126
2015-02-23,Oceania,Guam,214
2015-02-23,Oceania,Micronesia,10
2015-02-23,Oceania,Nauru,247
2015-02-23,Oceania,New Zealand,2164
2015-02-23,Oceania,Oceania,0
2015-02-23,Oceania,Oceans,72
2015-02-23,Oceania,Palau,22
2015-02-23,Oceania,Papua New Guinea,42
2015-02-23,Oceania,Samoa,48
2015-02-23,Oceania,Tonga,50
2015-02-23,South America,Argentina,6725
2015-02-23,South America,Bolivia,433
2015-02-23,South America,Brazil,6126
2015-02-23,South America,Chile,1131
2015-02-23,South America,Colombia,3717
2015-02-23,South America,Ecuador,381
2015-02-23,South America,Guyana,117
2015-02-23,South America,Paraguay,132
2015-02-23,South America,Peru,1132
2015-02-23,South America,Suriname,1
2015-02-23,South America,Uruguay,987
2015-02-23,South America,Venezuela,17398
2015-03-02,Africa,Algeria,2428
2015-03-02,Africa,Angola,206
2015-03-02,Africa,Benin,300
2015-03-02,Africa,Botswana,102
2015-03-02,Africa,Burkina Faso,1697
2015-03-02,Africa,Burundi,179
2015-03-02,Africa,Cameroon,3781
2015-03-02,Africa,Cape Verde,243
2015-03-02,Africa,Central African Republic,238
2015-03-02,Africa,Chad,5930
2015-03-02,Africa,Democratic Republic of Congo,434
2015-03-02,Africa,Djibouti,122
2015-03-02,Africa,Egypt,46929
2015-03-02,Africa,Equatorial Guinea,9
2015-03-02,Africa,Eritrea,35
2015-03-02,Africa,Ethiopia,964
2015-03-02,Africa,Gabon,14
2015-03-02,Africa,Gambia,525
2015-03-02,Africa,Ghana,2566
2015-03-02,Africa,Guinea,392
2015-03-02,Africa,Ivory Coast,270
2015-03-02,Africa,Kenya,5072
2015-03-02,Africa,Lesotho,393
2015-03-02,Africa,Liberia,759
2015-03-02,Africa,Libya,26619
2015-03-02,Africa,Madagascar,156
2015-03-02,Africa,Malawi,517
2015-03-02,Africa,Mali,6445
2015-03-02,Africa,Mauritania,538
2015-03-02,Africa,Mauritius,428
2015-03-02,Africa,Morocco,6074
2015-03-02,Africa,Mozambique,807
2015-03-02,Africa,Namibia,888
2015-03-02,Africa,Niger,3200
2015-03-02,Africa,Nigeria,46029
2015-03-02,Africa,Republic of Congo,841
2015-03-02,Africa,Reunion,8
2015-03-02,Africa,Rwanda,1341
2015-03-02,Africa,Senegal,542
2015-03-02,Africa,Seychelles,10
2015-03-02,Africa,Sierra Leone,695
2015-03-02,Africa,Somalia,7975
2015-03-02,Africa,South Africa,12170
2015-03-02,Africa,South Sudan,3609
2015-03-02,Africa,Sudan,4019
2015-03-02,Africa,Tanzania,1650
2015-03-02,Africa,Togo,167
2015-03-02,Africa,Tunisia,2498
2015-03-02,Africa,Uganda,1867
2015-03-02,Africa,Western Sahara,2
2015-03-02,Africa,Zambia,742
2015-03-02,Africa,Zimbabwe,2489
2015-03-02,Africa,eSwatini,95
2015-03-02,Antarctica,Antarctica,283
2015-03-02,Asia,Afghanistan,22580
2015-03-02,Asia,Armenia,3988
2015-03-02,Asia,Azerbaijan,2929
2015-03-02,Asia,Bahrain,1427
2015-03-02,Asia,Bangladesh,19252
2015-03-02,Asia,Bhutan,25
2015-03-02,Asia,Brunei,184
2015-03-02,Asia,Cambodia,1734
2015-03-02,Asia,China,21600
2015-03-02,Asia,East Timor,211
2015-03-02,Asia,Georgia,154
2015-03-02,Asia,Hong Kong,1255
2015-03-02,Asia,India,42184
2015-03-02,Asia,Indonesia,24284
2015-03-02,Asia,Iran,26803
2015-03-02,Asia,Iraq,85717
2015-03-02,Asia,Israel,44414
2015-03-02,Asia,Japan,8724
2015-03-02,Asia,Jordan,5621
2015-03-02,Asia,Kazakhstan,1218
2015-03-02,Asia,Kuwait,1738
2015-03-02,Asia,Kyrgyzstan,406
2015-03-02,Asia,Laos,99
2015-03-02,Asia,Lebanon,10376
2015-03-02,Asia,Macau,14
2015-03-02,Asia,Malaysia,6020
2015-03-02,Asia,Maldives,2599
2015-03-02,Asia,Mongolia,311
2015-03-02,Asia,Myanmar,3229
2015-03-02,Asia,Nepal,1802
2015-03-02,Asia,North Korea,6369
2015-03-02,Asia,Oman,366
2015-03-02,Asia,Pakistan,20408
2015-03-02,Asia,Palestine,3427
2015-03-02,Asia,Philippines,13197
2015-03-02,Asia,Qatar,2058
2015-03-02,Asia,Saudi Arabia,8424
2015-03-02,Asia,Singapore,2234
2015-03-02,Asia,South Korea,15050
2015-03-02,Asia,Sri Lanka,2983
2015-03-02,Asia,Syria,85163
2015-03-02,Asia,Taiwan,882
2015-03-02,Asia,Tajikistan,1499
2015-03-02,Asia,Thailand,5223
2015-03-02,Asia,Turkey,35698
2015-03-02,Asia,Turkmenistan,163
2015-03-02,Asia,United Arab Emirates,3349
2015-03-02,Asia,Uzbekistan,795
2015-03-02,Asia,Vietnam,2675
2015-03-02,Asia,Yemen,18430
2015-03-02,Europe,Albania,860
2015-03-02,Europe,Andorra,39
2015-03-02,Europe,Austria,2031
2015-03-02,Europe,Bailiwick of Guernsey,63
2015-03-02,Europe,Bailiwick of Jersey,1193
2015-03-02,Europe,Belarus,3564
2015-03-02,Europe,Belgium,3396
2015-03-02,Europe,Bosnia and Herzegovina,782
2015-03-02,Europe,Bulgaria,1310
2015-03-02,Europe,Croatia,1207
2015-03-02,Europe,Cyprus,552
2015-03-02,Europe,Czech Republic,4578
2015-03-02,Europe,Denmark,8058
2015-03-02,Europe,Estonia,452
2015-03-02,Europe,Finland,820
2015-03-02,Europe,France,34741
2015-03-02,Europe,Germany,16992
2015-03-02,Europe,Gibraltar,27
2015-03-02,Europe,Greece,9534
2015-03-02,Europe,Hungary,1034
2015-03-02,Europe,Iceland,138
2015-03-02,Europe,Ireland,5123
2015-03-02,Europe,Italy,8492
2015-03-02,Europe,Kosovo,347
2015-03-02,Europe,Latvia,557
2015-03-02,Europe,Lithuania,1788
2015-03-02,Europe,Luxembourg,81
2015-03-02,Europe,Malta,256
2015-03-02,Europe,Moldova,415
2015-03-02,Europe,Monaco,44
2015-03-02,Europe,Montenegro,140
2015-03-02,Europe,Netherlands,4334
2015-03-02,Europe,North Macedonia,481
2015-03-02,Europe,Norway,2374
2015-03-02,Europe,Poland,4611
2015-03-02,Europe,Portugal,1705
2015-03-02,Europe,Romania,3160
2015-03-02,Europe,Russia,111031
2015-03-02,Europe,Serbia,1519
2015-03-02,Europe,Slovakia,504
2015-03-02,Europe,Slovenia,377
2015-03-02,Europe,Spain,10991
2015-03-02,Europe,Sweden,6703
2015-03-02,Europe,Switzerland,4822
2015-03-02,Europe,Ukraine,76510
2015-03-02,Europe,United Kingdom,57880
2015-03-02,Europe,Vatican City,55
2015-03-02,North America,Antigua and Barbuda,10
2015-03-02,North America,Aruba,25
2015-03-02,North America,Bahamas,399
2015-03-02,North America,Barbados,52
2015-03-02,North America,Belize,322
2015-03-02,North America,Bermuda,17
2015-03-02,North America,Canada,26887
2015-03-02,North America,Cayman Islands,35
2015-03-02,North America,Costa Rica,88
2015-03-02,North America,Cuba,6001
2015-03-02,North America,Dominica,111
2015-03-02,North America,Dominican Republic,209
2015-03-02,North America,El Salvador,975
2015-03-02,North America,Greenland,90
2015-03-02,North America,Grenada,10
