mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events
2016-01-04,Saudi Arabia,Asia,106945,30248
2016-01-04,Iran,Asia,89170,26380
2016-01-04,Mexico,North America,45563,12149
2016-01-04,Israel,Asia,36740,17365
2016-01-11,United States,North America,229066,72666
2016-01-11,Turkey,Asia,65815,21005
2016-01-11,Indonesia,Asia,48971,10838
2016-01-11,Iran,Asia,47013,12857
2016-01-11,Syria,Asia,43966,17781
2016-01-18,United States,North America,211411,67856
2016-01-18,Pakistan,Asia,42964,14858
2016-01-18,Syria,Asia,33256,15013
2016-01-18,Israel,Asia,32032,14996
2016-01-18,Russia,Europe,29236,13230
2016-01-25,United States,North America,258936,71402
2016-01-25,Syria,Asia,28568,13055
2016-01-25,Israel,Asia,26887,12354
2016-01-25,Russia,Europe,22877,12444
2016-01-25,Turkey,Asia,20654,8790
2016-02-01,United States,North America,242094,70825
2016-02-01,Israel,Asia,58556,15151
2016-02-01,Syria,Asia,53104,21244
2016-02-01,United Kingdom,Europe,29773,11893
2016-02-01,Russia,Europe,29533,14606
2016-02-08,United States,North America,283646,74117
2016-02-08,Syria,Asia,71971,27402
2016-02-08,Russia,Europe,37301,17217
2016-02-08,Turkey,Asia,35366,14405
2016-02-08,Israel,Asia,33019,12912
2016-02-15,United States,North America,258108,73734
2016-02-15,Syria,Asia,84082,29388
2016-02-15,Turkey,Asia,80214,27165
2016-02-15,Israel,Asia,56522,15164
2016-02-15,Russia,Europe,35709,16901
2016-02-22,United States,North America,330709,81721
2016-02-22,Syria,Asia,63092,23166
2016-02-22,Israel,Asia,60441,12268
2016-02-22,Russia,Europe,32249,14810
2016-02-22,Turkey,Asia,26129,11175
2016-02-29,United States,North America,258345,75063
2016-02-29,Israel,Asia,49860,11316
2016-02-29,Syria,Asia,45284,17197
2016-02-29,Turkey,Asia,30067,12761
2016-02-29,Russia,Europe,26899,13369
2016-03-07,United States,North America,275968,75734
2016-03-07,Israel,Asia,77865,17916
2016-03-07,Syria,Asia,32899,13959
2016-03-07,Russia,Europe,25950,11384
2016-03-07,Tunisia,Africa,25538,8281
2016-03-14,United States,North America,228404,70873
2016-03-14,Turkey,Asia,74893,24483
2016-03-14,Belgium,Europe,51931,11927
2016-03-14,France,Europe,46374,13729
2016-03-14,Israel,Asia,43130,10411
2016-03-21,United States,North America,224003,70101
2016-03-21,Belgium,Europe,183020,46513
2016-03-21,France,Europe,77653,20917
2016-03-21,Syria,Asia,46750,17539
2016-03-21,Israel,Asia,39978,10064
2016-03-28,United States,North America,248030,73298
2016-03-28,Pakistan,Asia,44210,15512
2016-03-28,Belgium,Europe,43678,13637
2016-03-28,Israel,Asia,41971,9744
2016-03-28,Syria,Asia,38797,15806
2016-04-04,United States,North America,230550,70578
2016-04-04,Syria,Asia,51636,18619
2016-04-04,Israel,Asia,33324,8207
2016-04-04,Belgium,Europe,32696,9857
2016-04-04,France,Europe,30491,9480
2016-04-11,United States,North America,231358,65843
2016-04-11,Syria,Asia,46830,15249
