mention_week,conflict_country_name,conflict_continent,material_conflict_mentions
2022-05-02,United States,North America,15904
2022-05-09,Ukraine,Europe,27931
2022-05-09,United States,North America,25964
2022-05-09,Russia,Europe,25821
2022-05-16,Ukraine,Europe,26996
2022-05-16,Russia,Europe,24793
2022-05-16,United States,North America,15643
2022-05-23,United States,North America,36636
2022-05-23,Ukraine,Europe,29742
2022-05-23,Russia,Europe,22491
2022-05-30,Ukraine,Europe,30698
2022-05-30,United States,North America,24606
2022-05-30,Russia,Europe,23734
2022-06-06,United States,North America,25969
2022-06-06,Ukraine,Europe,24342
2022-06-06,Russia,Europe,21241
2022-06-13,United States,North America,18714
2022-06-13,Ukraine,Europe,17352
2022-06-13,Russia,Europe,16695
2022-06-20,United States,North America,18913
2022-06-20,Russia,Europe,17039
2022-06-20,Ukraine,Europe,15417
2022-06-27,Russia,Europe,23625
2022-06-27,United States,North America,19570
2022-06-27,Ukraine,Europe,17452
2022-07-04,United States,North America,18796
2022-07-04,Russia,Europe,16847
2022-07-04,Ukraine,Europe,14060
2022-07-11,Russia,Europe,20821
2022-07-11,United States,North America,20051
2022-07-11,Ukraine,Europe,15865
2022-07-18,United States,North America,18524
2022-07-18,Russia,Europe,15151
2022-07-18,Ukraine,Europe,13806
2022-07-25,United States,North America,16475
2022-07-25,Russia,Europe,16045
2022-07-25,Ukraine,Europe,14350
2022-08-01,Israel,Asia,30425
2022-08-01,United States,North America,19146
2022-08-01,Russia,Europe,15210
2022-08-08,United States,North America,28115
2022-08-08,Russia,Europe,14551
2022-08-08,Israel,Asia,13839
2022-08-15,United States,North America,16395
2022-08-15,Russia,Europe,15372
2022-08-15,Ukraine,Europe,12184
2022-08-22,Russia,Europe,18391
2022-08-22,United States,North America,15584
2022-08-22,Ukraine,Europe,13983
2022-08-29,Russia,Europe,15268
2022-08-29,United States,North America,14254
2022-08-29,Ukraine,Europe,12139
2022-09-05,Russia,Europe,13760
2022-09-05,United States,North America,12638
2022-09-05,Ukraine,Europe,12308
2022-09-12,Russia,Europe,15555
2022-09-12,Ukraine,Europe,15454
2022-09-12,United States,North America,12501
2022-09-19,Russia,Europe,18278
2022-09-19,Ukraine,Europe,12989
2022-09-19,United States,North America,12749
2022-09-26,Russia,Europe,18870
2022-09-26,United States,North America,14083
2022-09-26,Ukraine,Europe,12642
2022-10-03,United States,North America,17724
2022-10-03,Russia,Europe,16250
2022-10-03,Ukraine,Europe,14778
2022-10-10,Russia,Europe,25031
2022-10-10,Ukraine,Europe,22147
2022-10-10,United States,North America,17307
2022-10-17,Russia,Europe,22117
2022-10-17,Ukraine,Europe,20776
2022-10-17,United States,North America,16457
2022-10-24,United States,North America,17353
2022-10-24,Russia,Europe,14169
2022-10-24,Ukraine,Europe,12342
2022-10-31,United States,North America,16082
2022-10-31,Russia,Europe,15062
2022-10-31,Ukraine,Europe,13416
2022-11-07,United States,North America,14998
2022-11-07,Russia,Europe,12408
2022-11-07,Ukraine,Europe,10716
2022-11-14,Russia,Europe,23312
2022-11-14,Ukraine,Europe,20709
2022-11-14,United States,North America,15555
2022-11-21,Russia,Europe,14737
2022-11-21,Ukraine,Europe,14436
2022-11-21,United States,North America,13693
2022-11-28,United States,North America,15864
2022-11-28,Russia,Europe,13954
2022-11-28,Ukraine,Europe,11617
2022-12-05,Russia,Europe,18109
2022-12-05,United States,North America,17957
2022-12-05,Ukraine,Europe,12801
2022-12-12,United States,North America,18073
2022-12-12,Russia,Europe,16736
2022-12-12,Ukraine,Europe,12589
2022-12-19,United States,North America,16022
2022-12-19,Russia,Europe,14462
2022-12-19,Ukraine,Europe,11592
2022-12-26,Russia,Europe,18090
2022-12-26,Ukraine,Europe,17460
2022-12-26,United States,North America,13035
2023-01-02,United States,North America,18900
2023-01-02,Ukraine,Europe,17423
2023-01-02,Russia,Europe,16965
2023-01-09,Ukraine,Europe,21979
2023-01-09,Russia,Europe,20371
2023-01-09,United States,North America,16658
2023-01-16,United States,North America,21569
2023-01-16,Russia,Europe,18062
2023-01-16,Ukraine,Europe,17903
2023-01-23,United States,North America,27987
2023-01-23,Israel,Asia,27529
2023-01-23,Ukraine,Europe,20409
2023-01-30,United States,North America,21417
2023-01-30,Russia,Europe,20232
2023-01-30,Ukraine,Europe,18256
2023-02-06,United States,North America,18149
2023-02-06,Russia,Europe,17719
2023-02-06,Ukraine,Europe,16659
2023-02-13,Russia,Europe,20267
2023-02-13,United States,North America,18251
2023-02-13,Ukraine,Europe,17404
2023-02-20,Russia,Europe,22572
2023-02-20,Ukraine,Europe,19838
2023-02-20,United States,North America,19087
2023-02-27,Russia,Europe,18607
2023-02-27,United States,North America,17025
2023-02-27,Ukraine,Europe,17020
2023-03-06,Ukraine,Europe,20525
2023-03-06,Russia,Europe,20107
2023-03-06,United States,North America,18257
2023-03-13,Russia,Europe,22103
2023-03-13,Ukraine,Europe,18305
2023-03-13,United States,North America,13993
2023-03-20,Russia,Europe,12945
2023-03-20,United States,North America,11622
2023-03-20,Ukraine,Europe,9134
2023-03-27,United States,North America,36920
2023-03-27,Russia,Europe,27174
2023-03-27,Ukraine,Europe,19333
2023-04-03,Israel,Asia,56232
2023-04-03,Russia,Europe,27408
2023-04-03,United States,North America,25883
2023-04-10,United States,North America,27206
2023-04-10,Russia,Europe,23170
2023-04-10,Ukraine,Europe,17587
2023-04-17,United States,North America,27075
2023-04-17,Sudan,Africa,19659
2023-04-17,Russia,Europe,19297
2023-04-24,Sudan,Africa,24107
2023-04-24,Russia,Europe,22411
2023-04-24,United States,North America,22057
2023-05-01,Russia,Europe,26908
2023-05-01,United States,North America,24216
2023-05-01,Ukraine,Europe,23860
2023-05-08,Israel,Asia,36650
2023-05-08,United States,North America,26808
2023-05-08,Russia,Europe,22189
2023-05-15,Ukraine,Europe,25573
2023-05-15,Russia,Europe,24643
2023-05-15,United States,North America,19562
2023-05-22,Russia,Europe,21593
2023-05-22,United States,North America,19784
2023-05-22,Ukraine,Europe,19352
2023-05-29,Russia,Europe,28437
2023-05-29,Ukraine,Europe,24965
2023-05-29,United States,North America,17619
2023-06-05,Ukraine,Europe,24036
2023-06-05,United States,North America,21206
2023-06-05,Russia,Europe,20275
2023-06-12,Ukraine,Europe,21982
2023-06-12,Russia,Europe,20073
2023-06-12,United States,North America,19672
2023-06-19,Russia,Europe,35820
2023-06-19,Ukraine,Europe,20840
2023-06-19,Israel,Asia,18737
2023-06-26,Russia,Europe,23475
2023-06-26,Ukraine,Europe,18888
2023-06-26,United States,North America,17207
2023-07-03,Israel,Asia,22557
2023-07-03,Russia,Europe,17936
2023-07-03,Ukraine,Europe,16894
2023-07-10,Russia,Europe,22112
2023-07-10,United States,North America,21010
2023-07-10,Ukraine,Europe,19996
2023-07-17,Russia,Europe,21714
2023-07-17,United States,North America,21539
2023-07-17,Ukraine,Europe,21372
2023-07-24,Russia,Europe,21154
2023-07-24,United States,North America,20443
2023-07-24,Ukraine,Europe,20404
2023-07-31,Russia,Europe,26598
2023-07-31,United States,North America,26384
2023-07-31,Ukraine,Europe,21693
2023-08-07,United States,North America,23685
2023-08-07,Russia,Europe,19963
2023-08-07,Ukraine,Europe,19195
2023-08-14,United States,North America,28119
2023-08-14,Russia,Europe,22250
2023-08-14,Ukraine,Europe,18296
2023-08-21,United States,North America,32017
2023-08-21,Russia,Europe,24632
2023-08-21,Ukraine,Europe,20616
2023-08-28,United States,North America,20639
2023-08-28,Russia,Europe,19410
2023-08-28,Ukraine,Europe,17908
2023-09-04,Ukraine,Europe,19564
2023-09-04,Russia,Europe,19282
2023-09-04,United States,North America,17007
2023-09-11,United States,North America,19501
2023-09-11,Russia,Europe,17166
2023-09-11,Ukraine,Europe,16714
2023-09-18,United States,North America,19647
2023-09-18,Ukraine,Europe,18878
2023-09-18,Russia,Europe,18187
2023-09-25,United States,North America,24370
2023-09-25,Ukraine,Europe,16425
2023-09-25,United Kingdom,Europe,16085
2023-10-02,Israel,Asia,68778
2023-10-02,United States,North America,18199
2023-10-02,United Kingdom,Europe,17356
2023-10-09,Israel,Asia,191760
2023-10-09,United States,North America,17194
2023-10-09,United Kingdom,Europe,15770
2023-10-16,Israel,Asia,130959
2023-10-16,United States,North America,21033
2023-10-16,United Kingdom,Europe,16230
2023-10-23,Israel,Asia,106960
2023-10-23,United States,North America,23761
2023-10-23,United Kingdom,Europe,14129
2023-10-30,Israel,Asia,118120
2023-10-30,United States,North America,18576
2023-10-30,United Kingdom,Europe,16381
2023-11-06,Israel,Asia,89900
2023-11-06,United States,North America,20199
2023-11-06,United Kingdom,Europe,13981
2023-11-13,Israel,Asia,64004
2023-11-13,United States,North America,20377
2023-11-13,United Kingdom,Europe,12898
2023-11-20,Israel,Asia,67685
2023-11-20,United States,North America,18503
2023-11-20,Ukraine,Europe,13108
2023-11-27,Israel,Asia,58903
2023-11-27,United States,North America,20760
2023-11-27,United Kingdom,Europe,13045
2023-12-04,Israel,Asia,50636
2023-12-04,United States,North America,22419
2023-12-04,Australia,Oceania,12505
2023-12-11,Israel,Asia,44080
2023-12-11,United States,North America,19472
2023-12-11,Ukraine,Europe,12770
2023-12-18,Israel,Asia,38390
2023-12-18,United States,North America,21649
2023-12-18,Russia,Europe,12509
2023-12-25,Israel,Asia,42575
2023-12-25,Russia,Europe,22499
2023-12-25,Ukraine,Europe,21053
2024-01-01,Israel,Asia,40555
2024-01-01,United States,North America,23372
2024-01-01,Ukraine,Europe,15993
2024-01-08,Israel,Asia,41300
2024-01-08,United States,North America,21037
2024-01-08,United Kingdom,Europe,17909
2024-01-15,Israel,Asia,34718
2024-01-15,United States,North America,20422
2024-01-15,Russia,Europe,15179
2024-01-22,Israel,Asia,31443
2024-01-22,United States,North America,24234
2024-01-22,Russia,Europe,15438
2024-01-29,Israel,Asia,30072
2024-01-29,United States,North America,22444
2024-01-29,United Kingdom,Europe,18043
2024-02-05,Israel,Asia,29956
2024-02-05,United States,North America,22436
2024-02-05,Ukraine,Europe,13412
2024-02-12,Israel,Asia,35056
2024-02-12,Russia,Europe,22456
2024-02-12,United States,North America,20844
2024-02-19,Russia,Europe,32235
2024-02-19,Israel,Asia,28946
2024-02-19,Ukraine,Europe,19655
2024-02-26,Israel,Asia,33019
2024-02-26,United States,North America,22337
2024-02-26,Russia,Europe,19739
2024-03-04,Israel,Asia,22068
2024-03-04,United States,North America,21689
2024-03-04,Russia,Europe,16638
2024-03-11,Israel,Asia,23259
2024-03-11,Russia,Europe,22703
2024-03-11,United States,North America,21616
2024-03-18,Russia,Europe,38187
2024-03-18,Israel,Asia,25999
2024-03-18,United States,North America,25072
2024-03-25,Israel,Asia,28045
2024-03-25,Russia,Europe,22717
2024-03-25,United States,North America,17182
2024-04-01,Israel,Asia,45474
2024-04-01,Russia,Europe,16861
2024-04-01,United States,North America,16351
2024-04-08,Israel,Asia,40373
2024-04-08,United States,North America,22800
2024-04-08,Iran,Asia,20246
2024-04-15,Israel,Asia,41083
2024-04-15,Iran,Asia,23121
2024-04-15,United States,North America,18988
2024-04-22,United States,North America,31339
2024-04-22,Israel,Asia,28237
2024-04-22,Russia,Europe,14680
2024-04-29,Israel,Asia,31750
2024-04-29,United States,North America,26495
2024-04-29,Russia,Europe,14190
2024-05-06,Israel,Asia,44058
2024-05-06,Russia,Europe,18034
2024-05-06,United States,North America,16348
2024-05-13,Israel,Asia,32909
2024-05-13,Russia,Europe,22396
2024-05-13,Ukraine,Europe,19455
2024-05-20,Israel,Asia,41690
2024-05-20,Russia,Europe,17024
2024-05-20,United States,North America,16013
2024-05-27,Israel,Asia,39077
2024-05-27,United States,North America,33160
2024-05-27,Russia,Europe,15275
2024-06-03,Israel,Asia,31026
2024-06-03,United States,North America,17049
2024-06-03,Russia,Europe,13618
2024-06-10,Israel,Asia,24335
2024-06-10,United States,North America,18909
2024-06-10,Russia,Europe,13629
2024-06-17,United States,North America,19664
2024-06-17,Israel,Asia,19092
2024-06-17,Russia,Europe,17756
2024-06-24,United States,North America,19453
2024-06-24,Israel,Asia,16998
2024-06-24,United Kingdom,Europe,16616
2024-07-01,Israel,Asia,21194
2024-07-01,United States,North America,17117
2024-07-01,United Kingdom,Europe,11801
2024-07-08,United States,North America,38445
2024-07-08,Israel,Asia,22852
2024-07-08,Russia,Europe,17882
2024-07-15,United States,North America,28546
2024-07-15,Israel,Asia,23901
2024-07-15,Russia,Europe,14169
2024-07-22,United States,North America,25325
2024-07-22,Israel,Asia,21537
2024-07-22,United Kingdom,Europe,11677
2024-07-29,Israel,Asia,37914
2024-07-29,United Kingdom,Europe,30480
2024-07-29,Russia,Europe,18594
2024-08-05,Israel,Asia,28923
2024-08-05,United Kingdom,Europe,22466
2024-08-05,Russia,Europe,20023
2024-08-12,Israel,Asia,28317
2024-08-12,Russia,Europe,24272
2024-08-12,Ukraine,Europe,24031
2024-08-19,Israel,Asia,25571
2024-08-19,Russia,Europe,22932
2024-08-19,Ukraine,Europe,20861
2024-08-26,Israel,Asia,28626
2024-08-26,Russia,Europe,20564
2024-08-26,Ukraine,Europe,19589
2024-09-02,Israel,Asia,24438
2024-09-02,United States,North America,20012
2024-09-02,Russia,Europe,17073
2024-09-09,United States,North America,18658
2024-09-09,Israel,Asia,18403
2024-09-09,Russia,Europe,16981
2024-09-16,Israel,Asia,36401
2024-09-16,United States,North America,18770
2024-09-16,Russia,Europe,13145
2024-09-23,Israel,Asia,52936
2024-09-23,Lebanon,Asia,27724
2024-09-23,United States,North America,18689
2024-09-30,Israel,Asia,85428
2024-09-30,Lebanon,Asia,29905
2024-09-30,Iran,Asia,27247
2024-10-07,Israel,Asia,56203
2024-10-07,Lebanon,Asia,16384
2024-10-07,United States,North America,13176
2024-10-14,Israel,Asia,49556
2024-10-14,United States,North America,18330
2024-10-14,Russia,Europe,11779
2024-10-21,Israel,Asia,36128
2024-10-21,United States,North America,19299
2024-10-21,Russia,Europe,13460
2024-10-28,Israel,Asia,26534
2024-10-28,United States,North America,17250
2024-10-28,Russia,Europe,14385
2024-11-04,United States,North America,25714
2024-11-04,Israel,Asia,19033
2024-11-04,Russia,Europe,11319
2024-11-11,Israel,Asia,23483
2024-11-11,United States,North America,16522
2024-11-11,Russia,Europe,15944
2024-11-18,Russia,Europe,27641
2024-11-18,Israel,Asia,24450
2024-11-18,Ukraine,Europe,23670
2024-11-25,Israel,Asia,22981
2024-11-25,Russia,Europe,17182
2024-11-25,Ukraine,Europe,13701
2024-12-02,United States,North America,20452
2024-12-02,Syria,Asia,19663
2024-12-02,Israel,Asia,15454
2024-12-09,United States,North America,22964
2024-12-09,Syria,Asia,19818
2024-12-09,Israel,Asia,17937
2024-12-16,United States,North America,22600
2024-12-16,Russia,Europe,18629
2024-12-16,Ukraine,Europe,14939
2024-12-23,Russia,Europe,18737
2024-12-23,Israel,Asia,17525
2024-12-23,Ukraine,Europe,12294
2024-12-30,Israel,Asia,17478
2024-12-30,United States,North America,15239
2024-12-30,Russia,Europe,10327
2025-01-06,United States,North America,36593
2025-01-06,Israel,Asia,12271
2025-01-06,United Kingdom,Europe,11890
2025-01-13,Israel,Asia,23817
2025-01-13,United States,North America,18916
2025-01-13,Russia,Europe,13685
2025-01-20,United States,North America,27717
2025-01-20,Israel,Asia,21271
2025-01-20,United Kingdom,Europe,13079
2025-01-27,United States,North America,21300
2025-01-27,Israel,Asia,18279
2025-01-27,United Kingdom,Europe,13696
2025-02-03,Israel,Asia,21541
2025-02-03,United States,North America,16702
2025-02-03,Russia,Europe,11530
2025-02-10,Israel,Asia,16039
2025-02-10,United States,North America,15781
2025-02-10,Russia,Europe,12844
2025-02-17,Israel,Asia,24044
2025-02-17,United States,North America,23078
2025-02-17,Russia,Europe,13029
2025-02-24,United States,North America,16908
2025-02-24,Ukraine,Europe,15114
2025-02-24,Russia,Europe,13525
2025-03-03,Ukraine,Europe,21890
2025-03-03,United States,North America,19154
2025-03-03,Russia,Europe,16837
2025-03-10,United States,North America,23097
2025-03-10,Russia,Europe,20908
2025-03-10,Ukraine,Europe,15932
2025-03-17,Israel,Asia,36666
2025-03-17,United States,North America,19008
2025-03-17,Russia,Europe,15277
2025-03-24,United States,North America,20874
2025-03-24,Israel,Asia,17376
2025-03-24,Russia,Europe,15422
2025-03-31,United States,North America,18838
2025-03-31,Israel,Asia,16513
2025-03-31,Russia,Europe,13768
2025-04-07,United States,North America,18997
2025-04-07,Israel,Asia,15556
2025-04-07,United Kingdom,Europe,13393
2025-04-14,United States,North America,23620
2025-04-14,Russia,Europe,16244
2025-04-14,Israel,Asia,15850
2025-04-21,United States,North America,19895
2025-04-21,Russia,Europe,17577
2025-04-21,Ukraine,Europe,15063
2025-04-28,United States,North America,19894
2025-04-28,Israel,Asia,15149
2025-04-28,United Kingdom,Europe,12478
2025-05-05,Pakistan,Asia,21530
2025-05-05,United States,North America,17103
2025-05-05,Russia,Europe,15078
2025-05-12,United States,North America,16939
2025-05-12,Israel,Asia,15414
2025-05-12,Russia,Europe,12964
2025-05-19,Israel,Asia,25826
2025-05-19,United States,North America,20104
2025-05-19,Russia,Europe,15180
2025-05-26,Israel,Asia,19234
2025-05-26,Russia,Europe,16930
2025-05-26,United States,North America,16351
2025-06-02,United States,North America,28733
2025-06-02,Israel,Asia,21562
2025-06-02,Russia,Europe,18632
2025-06-09,United States,North America,37801
2025-06-09,Israel,Asia,34305
2025-06-09,Iran,Asia,20353
2025-06-30,Israel,Asia,15918
2025-06-30,United States,North America,11713
2025-06-30,Russia,Europe,10214
2025-07-07,Israel,Asia,18914
2025-07-07,United States,North America,16448
2025-07-07,Russia,Europe,13858
2025-07-14,Israel,Asia,19869
2025-07-14,United States,North America,17247
2025-07-14,Russia,Europe,13104
2025-07-21,Israel,Asia,18166
2025-07-21,United States,North America,17696
2025-07-21,United Kingdom,Europe,16882
2025-07-28,Israel,Asia,16456
2025-07-28,United States,North America,14966
2025-07-28,Russia,Europe,13541
2025-08-04,Israel,Asia,24502
2025-08-04,United States,North America,21143
2025-08-04,United Kingdom,Europe,16998
2025-08-11,United States,North America,20675
2025-08-11,Israel,Asia,19342
2025-08-11,Russia,Europe,12281
2025-08-18,United States,North America,22557
2025-08-18,Israel,Asia,17547
2025-08-18,Russia,Europe,14327
2025-08-25,Israel,Asia,28246
2025-08-25,United States,North America,23261
2025-08-25,Australia,Oceania,15407
2025-09-01,United States,North America,18384
2025-09-01,Israel,Asia,17597
2025-09-01,Ukraine,Europe,12895
2025-09-08,United States,North America,39964
2025-09-08,Israel,Asia,25900
2025-09-08,Russia,Europe,20039
2025-09-15,United States,North America,32777
2025-09-15,Israel,Asia,25049
2025-09-15,Russia,Europe,14844
2025-09-22,United States,North America,22655
2025-09-22,Israel,Asia,20013
2025-09-22,Russia,Europe,17109
2025-09-29,Israel,Asia,26695
2025-09-29,United States,North America,22776
2025-09-29,United Kingdom,Europe,15146
2025-10-06,Israel,Asia,29686
2025-10-06,United States,North America,22505
2025-10-06,United Kingdom,Europe,13341
2025-10-13,Israel,Asia,32247
2025-10-13,United States,North America,21574
2025-10-13,United Kingdom,Europe,12131
2025-10-20,United States,North America,24621
2025-10-20,United Kingdom,Europe,20897
2025-10-20,Russia,Europe,16487
2025-10-27,United States,North America,22715
2025-10-27,Israel,Asia,15359
2025-10-27,United Kingdom,Europe,14921
2025-11-03,United States,North America,21810
2025-11-03,United Kingdom,Europe,12415
2025-11-03,Russia,Europe,12096
2025-11-10,United States,North America,20782
2025-11-10,United Kingdom,Europe,11055
2025-11-10,Russia,Europe,10573
2025-11-17,United States,North America,17349
2025-11-17,Russia,Europe,13418
2025-11-17,Israel,Asia,13071
2025-11-24,United States,North America,20042
2025-11-24,Russia,Europe,12099
2025-11-24,Israel,Asia,11922
2025-12-01,United States,North America,27214
2025-12-01,Russia,Europe,12448
2025-12-01,Australia,Oceania,10236
2025-12-08,Australia,Oceania,23795
2025-12-08,United States,North America,17341
2025-12-08,Russia,Europe,12418
2025-12-15,Australia,Oceania,38515
2025-12-15,United States,North America,25070
2025-12-15,United Kingdom,Europe,13876
2025-12-22,Russia,Europe,13865
2025-12-22,United States,North America,12582
2025-12-22,United Kingdom,Europe,10965
2025-12-29,United States,North America,20781
2025-12-29,Venezuela,South America,17082
2025-12-29,Ukraine,Europe,11639
2026-01-05,United States,North America,30593
2026-01-05,Venezuela,South America,16331
2026-01-05,Australia,Oceania,12276
2026-01-12,United States,North America,13422
2026-01-12,Iran,Asia,12513
2026-01-12,Australia,Oceania,10043
