mention_week,conflict_country_name,conflict_continent,material_conflict_mentions
2019-10-14,Syria,Asia,19527
2019-10-21,United States,North America,27938
2019-10-21,United Kingdom,Europe,24219
2019-10-21,Syria,Asia,13870
2019-10-28,United States,North America,32625
2019-10-28,United Kingdom,Europe,13465
2019-10-28,Syria,Asia,9644
2019-11-04,United States,North America,31133
2019-11-04,United Kingdom,Europe,13832
2019-11-04,Australia,Oceania,9548
2019-11-11,United States,North America,29947
2019-11-11,Israel,Asia,19485
2019-11-11,United Kingdom,Europe,14022
2019-11-18,United States,North America,28836
2019-11-18,United Kingdom,Europe,18670
2019-11-18,Israel,Asia,8604
2019-11-25,United Kingdom,Europe,33406
2019-11-25,United States,North America,23637
2019-11-25,Iraq,Asia,8207
2019-12-02,United States,North America,32235
2019-12-02,United Kingdom,Europe,24163
2019-12-02,Russia,Europe,9671
2019-12-09,United States,North America,30390
2019-12-09,United Kingdom,Europe,17983
2019-12-09,Russia,Europe,9529
2019-12-16,United States,North America,31185
2019-12-16,United Kingdom,Europe,22438
2019-12-16,India,Asia,14845
2019-12-23,United States,North America,22791
2019-12-23,Russia,Europe,8141
2019-12-23,United Kingdom,Europe,7845
2019-12-30,United States,North America,13516
2019-12-30,Iraq,Asia,10040
2019-12-30,Iran,Asia,5862
2020-01-06,Iran,Asia,76360
2020-01-06,United States,North America,46531
2020-01-06,Iraq,Asia,29581
2020-01-13,United States,North America,27705
2020-01-13,Iran,Asia,20846
2020-01-13,United Kingdom,Europe,13299
2020-01-20,United States,North America,28850
2020-01-20,United Kingdom,Europe,15288
2020-01-20,China,Asia,9345
2020-01-27,China,Asia,32479
2020-01-27,United States,North America,29811
2020-01-27,United Kingdom,Europe,23883
2020-02-03,United States,North America,37064
2020-02-03,United Kingdom,Europe,24208
2020-02-03,China,Asia,19268
2020-02-10,United States,North America,27342
2020-02-10,United Kingdom,Europe,16644
2020-02-10,China,Asia,11308
2020-02-17,United States,North America,24999
2020-02-17,United Kingdom,Europe,17424
2020-02-17,China,Asia,11378
2020-02-24,United States,North America,37323
2020-02-24,Syria,Asia,14833
2020-02-24,Turkey,Asia,14384
2020-03-02,United States,North America,24158
2020-03-02,United Kingdom,Europe,14671
2020-03-02,Turkey,Asia,14467
2020-03-09,United States,North America,32821
2020-03-09,United Kingdom,Europe,19774
2020-03-09,Iraq,Asia,11312
2020-03-16,United States,North America,21148
2020-03-16,United Kingdom,Europe,15810
2020-03-16,Australia,Oceania,8343
2020-03-23,United States,North America,18356
2020-03-23,United Kingdom,Europe,12086
2020-03-23,Australia,Oceania,6613
2020-03-30,United States,North America,17381
2020-03-30,United Kingdom,Europe,10533
2020-03-30,Russia,Europe,6442
2020-04-06,United States,North America,19752
2020-04-06,United Kingdom,Europe,13084
2020-04-06,Australia,Oceania,8392
2020-04-13,United States,North America,16377
